,Establishment,Latitude,Longitude,Evaluation,property_zipcode
0,Royal Fried Chichen ,40.73565516,-74.17151209999999,Conditionally Satisfactory,07102
1,new born holy church,40.73642039,-74.19394933,Conditionally Satisfactory,07103
2,South 17th Street School ,40.73436694,-74.21026426,Satisfactory,07103
3,Maria L. Varisco Rodgers Charter School ,40.77418634,-74.16450078,Satisfactory,07104
4,Nick's Coffee Shop,40.73534107,-74.17428514,Conditionally Satisfactory,07102
5,Christ the King Prepatory School ,40.77418634,-74.16450078,Satisfactory,07104
6,Skyline Liquors,40.72717695,-74.18345678,Conditionally Satisfactory,07102
7,Angel Liquors,40.73118094,-74.18129153,Satisfactory,07102
8,All Brothers Liquors ,40.72965892,-74.17930606,Satisfactory,07102
9,United Liquors ,40.73254123,-74.17677904,Satisfactory,07102
10,Good Chinese Kitchen,40.73887921,-74.19354026,Conditionally Satisfactory,07103
11,Tony's Liquor #2,40.72138243,-74.19548563,Satisfactory,07108
12,Reyes grocery,40.73990148,-74.22248705,Conditionally Satisfactory,07106
13,Z-Cafe,40.7420447,-74.1733983,Conditionally Satisfactory,07102
14,Madina Halal Fried Chicken ,40.735533200000006,-74.17252114,Conditionally Satisfactory,07102
15,Madina Halal Fried Chicken ,40.735533200000006,-74.17252114,Conditionally Satisfactory,07102
16,Nick's Coffee Shop,40.73534107,-74.17428514,Satisfactory,07102
17,Mayfair liquor store ,40.74614791,-74.2303899,Conditionally Satisfactory,07106
18,New Silver Key Liquors ,40.75941288,-74.16947026,Conditionally Satisfactory,07104
19,Los Compadres Liquor  &  Grocery,40.72395033,-74.17629958,Conditionally Satisfactory,07102
20,Vailsburg Wine @ Liquors ,40.74621922,-74.22910983,Conditionally Satisfactory,07106
21,Dinorah's Restaurant,40.72333477,-74.17671618,Satisfactory,07114
22,MerCy Deli & Grill,40.7309002,-74.20873071,Conditionally Satisfactory,07103
23,Maite ,40.73046048,-74.15635471,Satisfactory,07105
24,emmanuel Wee Garden Center,40.73291969,-74.18941621,Satisfactory,07103
25,nohelis supermarket,40.73609518,-74.19446729,Satisfactory,07103
26,azcona liquor ,40.74484233,-74.22189589,Satisfactory,07018
27,Palacio Europa,40.72430398,-74.15723096,Satisfactory,07105
28,One Park Bistro,40.74506949,-74.17049164,Conditionally Satisfactory,07102
29,Herb life ,40.76022373,-74.17666324,Conditionally Satisfactory,07104
30,Dunkin Donuts,40.730951899999994,-74.17667638,Satisfactory,07102
31,Gourmet Lunch ,40.73232721,-74.17302958,Conditionally Satisfactory,07102
32,The Monk Room ,40.73224956,-74.17286329,Satisfactory,07102
33,Dunkin Donuts ,40.74484066,-74.22117800000001,Conditionally Satisfactory,07106
34,MI Casa Grocery and Deli,40.73225935,-74.13368669,Satisfactory,07105
35,Iron bound After-School Program,40.725494899999994,-74.15369874,Satisfactory,07105
36,Tasca do Pedras,40.72784498,-74.15593352,Conditionally Satisfactory,07105
37, Marion P Thomas High School ,40.73309498,-74.17968726,Satisfactory,07102
38,Magazine place,40.73170516,-74.20408838,Satisfactory,07103
39,Marion P Thomas High School ,40.72777964,-74.17937847,Satisfactory,07102
40,Home Liquors ,40.74533351,-74.21942816,Satisfactory,07106
41,Central High School,40.72905822,-74.19270894,Satisfactory,07108
42,Pao Com Manteiga,40.729099600000005,-74.16228757,Conditionally Satisfactory,07105
43,Marion P Thomas Charter School ,40.73566407,-74.19903983,Satisfactory,07103
44,Home Liquors,40.73229681,-74.15823453,Satisfactory,07105
45,Kim Hui Chinese Restaurant ,40.74617243,-74.22938823,Conditionally Satisfactory,07106
46,Skyline Liquors ,40.72717695,-74.18345678,Satisfactory,07102
47,mercy Deli & grill,40.7309002,-74.20873071,Satisfactory,07103
48,International Youth Organization,40.72921397,-74.20722208,Satisfactory,07103
49,Madena Halal Fried Chicken ,40.73548644,-74.17255124,Satisfactory,07102
50,Madena Halal Fried Chicken ,40.73548644,-74.17255124,Satisfactory,07102
51,Rainbow Land Learning Center II,40.72191027,-74.15076081,Satisfactory,07105
52,wendys,40.7309002,-74.20873071,Satisfactory,07103
53,Los Compadres Liquor and Grocery Store ,40.72395033,-74.17629958,Satisfactory,07102
54,Ce Qui Sabe Restaurant ,40.72242644,-74.15060890000001,Conditionally Satisfactory,07105
55,Supermarket Bonzao,40.72984875,-74.15779154,Conditionally Satisfactory,07105
57,Marion P Thomas Charter School ,40.74072571,-74.1991528,Satisfactory,07103
58,Jimmy golden crust,40.74815533,-74.17990352,Conditionally Satisfactory,07103
59,D & R Supermarket ,40.73823495,-74.23531107,Conditionally Satisfactory,07106
60,Jimmy golden crust,40.74815533,-74.17990352,Conditionally Satisfactory,07103
61,Maria's Sweet Deli,40.72008159,-74.15549509999998,Conditionally Satisfactory,07105
62,Dragon Phoenix Asian Cuisine ,40.72135365,-74.20093398,Satisfactory,07108
63,The Blue Mirror Restaurant and Lounge ,40.72310926,-74.18884734,Satisfactory,07108
64,Gafanha Grocery,40.72719635,-74.16810308,Satisfactory,07105
65,Walgreens 3146 ,40.73493624,-74.24890312,Satisfactory,07106
67,April's Lounge,40.73212113,-74.14247588,Satisfactory,07105
68,Baru Lounge,40.7318946,-74.14331849,Satisfactory,07105
69,Community Health Pharmacy ,40.77419405,-74.16694006,Conditionally Satisfactory,07104
70,Market Barbecue,40.73186415,-74.15615518,Satisfactory,07105
71,golden crust,40.73887921,-74.19354026,Satisfactory,07103
74,Maria' Sweet Deli ,40.72008159,-74.15549509999998,Satisfactory,07105
78,Sidelines Sports Bar Restaurant,40.72124639,-74.15676793,Satisfactory,07105
79,Cortico Cervejaria Paulino ,40.72208298,-74.15864483,Satisfactory,07105
80,Supreme Market City ,40.73701941,-74.17013295,Conditionally Satisfactory,07102
82,Margarita's Spanish Food,40.735515899999996,-74.16784468,Satisfactory,07102
83,Gospel Christian Academy,40.73008787,-74.21316879999999,Conditionally Satisfactory,07103
84,Circle of Life Shelter ,40.71885337,-74.20887644,Satisfactory,07108
85,Gourmet Lunch ,40.735515899999996,-74.16784468,Satisfactory,07102
87,Hunan Garden Restaurant ,40.75830646,-74.17474344,Conditionally Satisfactory,07104
89,Maranatha Bakery,40.72929299,-74.15728968,Conditionally Satisfactory,07105
90,Kim Hui Chinese Restaurant ,40.74617243,-74.22938823,Satisfactory,07106
92,Princess Bakery,40.72420471,-74.15757067,Conditionally Satisfactory,07105
93,Caballero's Cafe,40.72594596,-74.15863202,Conditionally Satisfactory,07105
94,El  Encuentro Restaurant ,40.76040236,-74.176789,Conditionally Satisfactory,07104
95,El  Encuentro Restaurant ,40.76040236,-74.176789,Conditionally Satisfactory,07104
96,Queen Pizza  II,40.73624618,-74.16926729,Satisfactory,07102
97,Queen Pizza  II,40.73624618,-74.16926729,Satisfactory,07102
99,BJH Inc./ Austin Liquors,40.76285268,-74.17247323,Conditionally Satisfactory,07104
100,BJH Inc./ Austin Liquors,40.76285268,-74.17247323,Conditionally Satisfactory,07104
101,Exito Fresh Market &Liquors ,40.78231266,-74.17209348,Conditionally Satisfactory,07104
102,AJ Seabra Supermarket II,40.72587883,-74.16632703,Satisfactory,07105
103,19th Supermarket & Deli,40.73214218,-74.21240972,Satisfactory,07103
104,19th Supermarket & Deli,40.73214218,-74.21240972,Satisfactory,07103
105,LBV Cellars,40.72319424,-74.16405426,Satisfactory,07105
106,Dunkin Donuts ,40.74484066,-74.22117800000001,Satisfactory,07106
110,Jimmys Golden Crust,40.74815533,-74.17990352,Satisfactory,07103
112,Pizza Town ,40.78269484,-74.16167112,Conditionally Satisfactory,07104
113,Amanda's Bakery,40.72405726,-74.15521368,Satisfactory,07105
114,JJJ Grocery Store,40.73932178,-74.20904088,Conditionally Satisfactory,07103
115,Dr William Horton School,40.73889352,-74.19854851,Satisfactory,07103
116,Don Costa Lounge,40.73265151,-74.14228219,Satisfactory,07105
117,Fleming AVE BBQ,40.73203122,-74.14275888,Conditionally Satisfactory,07105
118,Rio Douro Bar and Restaurant,40.72843971,-74.16618406,Satisfactory,07105
120,Brother's Grocery And Deli ,40.73893668,-74.22699651,Conditionally Satisfactory,07106
121,Casa Humitas Restaurant,40.73117313,-74.14543264,Conditionally Satisfactory,07105
122,Casa Do Minho Social Club,40.72626818,-74.14399023,Satisfactory,07105
123,Reyes grocery ,40.73990148,-74.22248705,Conditionally Satisfactory,07106
124,Trucker's Gourmet Deli,40.71963379,-74.15140296,Satisfactory,07105
125,Community Church of Faith,40.73381711,-74.18895098,Satisfactory,07103
126,Community Church of Faith,40.73381711,-74.18895098,Satisfactory,07103
127,8o9 Supermarket ,40.71368922,-74.21438793,Conditionally Satisfactory,07112
128,Casa Nova Steakhouse,40.72984875,-74.15779154,Satisfactory,07105
129,nj fried chicken,40.75387689,-74.19138053,Conditionally Satisfactory,07107
130,nj fried chicken,40.75387689,-74.19138053,Conditionally Satisfactory,07107
131,nj fried chicken,40.75387689,-74.19138053,Conditionally Satisfactory,07107
133,Nuestra Sabor Restaurant,40.72674058,-74.16384346,Conditionally Satisfactory,07105
134,LA Esperanto Restaurant,40.75443544,-74.19111904,Conditionally Satisfactory,07107
135,LA Esperanto Restaurant,40.75443544,-74.19111904,Conditionally Satisfactory,07107
136,Boi na Brasa,40.72960308,-74.15447285,Satisfactory,07105
137,McDonald's #1928,40.73817806,-74.22535624,Conditionally Satisfactory,07106
139,Mayfair liquor store ,40.74614791,-74.2303899,Conditionally Satisfactory,07106
140,Hamburgao,40.72772763,-74.15997687,Conditionally Satisfactory,07105
141,Napoli Pizzeria,40.72249705,-74.16447881,Conditionally Satisfactory,07105
142,99 Cents Ferry Inc.,40.72249705,-74.16447881,Satisfactory,07105
143,White Castle ,40.77256466,-74.16196911,Conditionally Satisfactory,07104
144,White Castle ,40.77256466,-74.16196911,Conditionally Satisfactory,07104
145,Karpollo Restaurant,40.72698811,-74.16373226,Satisfactory,07105
146,Tio Pepe Restaurant,40.71748625,-74.15166767,Satisfactory,07105
147,CalDas Restaurant,40.72033201,-74.14550768,Satisfactory,07105
150,Ghanaian Way ,40.707593599999996,-74.19490498,Unsatisfactory,07114
151,Cachacaria Agua Doce,40.72825956,-74.15307156,Satisfactory,07105
152,809 Supermarket ,40.71368922,-74.21438793,Conditionally Satisfactory,07112
153,Ghanaian Way ,40.707593599999996,-74.19490498,Conditionally Satisfactory,07114
154,Pic- Nic Cafe Restaurant,40.72800029,-74.15435706,Satisfactory,07105
155,New Charlize Supermarket,40.734989,-74.13959065,Satisfactory,07105
157,809 Supermarket ,40.71368922,-74.21438793,Satisfactory,07112
158,Manu's Kitchen Bar Sushi Lounge,40.73117395,-74.16116564,Satisfactory,07105
159,Dunking Donuts,40.71887052,-74.16149798,Satisfactory,07105
160,Ademis Grocery No. 2,40.72429594,-74.17839864,Satisfactory,07114
161,New Om Liquors ,40.77509102,-74.1664147,Conditionally Satisfactory,07104
162,New Om Liquors ,40.77509102,-74.1664147,Conditionally Satisfactory,07104
163,Nujoom Hookah Lounge ,40.74973274,-74.19761358,Unsatisfactory,07107
164,Annabella's Kitchen ,40.73972217,-74.17277298,Conditionally Satisfactory,07102
165,nujoom Hookah Lounge ,40.74171573,-74.16950118,Satisfactory,07102
166,Subway ,40.74017609,-74.18848866,Conditionally Satisfactory,07103
167,Francesca's Pizza Pasta,40.7306657,-74.16529999,Satisfactory,07105
169,Splash Fish Market ,40.77523188,-74.16640376,Conditionally Satisfactory,07104
170,Splash Fish Market ,40.77523188,-74.16640376,Conditionally Satisfactory,07104
